slug|team|category|conf
air-force|Air Force||
akron|Akron||
alabama|Alabama|major|sec
alameda-coast-guard|Alameda Coast Guard||
alcorn-state|Alcorn State||
amarillo-field|Amarillo Field||
amherst|Amherst||
appalachian-state|Appalachian State||
arizona|Arizona|major|pac
arizona-state|Arizona State|major|pac
arkansas|Arkansas|major|sec
arkansas-state|Arkansas State||
army|Army||
auburn|Auburn|major|sec
ball-state|Ball State||
bates|Bates||
baylor|Baylor|major|b12
beloit|Beloit||
birmingham-southern|Birmingham-Southern||
boise-state|Boise State||
boston-college|Boston College|major|acc
boston-university|Boston University||
bowdoin|Bowdoin||
bowling-green-state|Bowling Green State||
bradley|Bradley||
brigham-young|Brigham Young||
brown|Brown||
bucknell|Bucknell||
buffalo|Buffalo||
butler|Butler||
cal-state-fullerton|Cal State Fullerton||
cal-state-los-angeles|Cal State Los Angeles||
california|California|major|pac
california-santa-barbara|California-Santa Barbara||
camp-grant|Camp Grant||
carlisle|Carlisle||
carnegie-mellon|Carnegie Mellon||
centenary-la|Centenary (LA)||
central-michigan|Central Michigan||
centre|Centre||
charlotte|Charlotte||
chattanooga|Chattanooga||
chicago|Chicago||
cincinnati|Cincinnati||
citadel|Citadel||
clemson|Clemson|major|acc
coast-guard|Coast Guard||
coastal-carolina|Coastal Carolina||
coe|Coe||
colby|Colby||
colgate|Colgate||
colorado|Colorado|major|pac
colorado-college|Colorado College||
colorado-mines|Colorado Mines||
colorado-state|Colorado State||
columbia|Columbia||
connecticut|Connecticut||
cornell|Cornell||
cornell-college|Cornell College||
creighton|Creighton||
cumberland|Cumberland||
dartmouth|Dartmouth||
davidson|Davidson||
dayton|Dayton||
del-monte-pre-flight|Del Monte Pre-Flight||
denver|Denver||
detroit-mercy|Detroit Mercy||
dickinson|Dickinson||
drake|Drake||
drury|Drury||
duke|Duke|major|acc
duquesne|Duquesne||
east-carolina|East Carolina||
east-tennessee-state|East Tennessee State||
eastern-michigan|Eastern Michigan||
erskine|Erskine||
florida|Florida|major|sec
florida-am|Florida A&amp;M||
florida-atlantic|Florida Atlantic||
florida-international|Florida International||
florida-state|Florida State|major|acc
fordham|Fordham||
fort-benning|Fort Benning||
fort-riley|Fort Riley||
fort-warren|Fort Warren||
franklin-marshall|Franklin &amp; Marshall||
fresno-state|Fresno State||
furman|Furman||
george-washington|George Washington||
georgetown|Georgetown||
georgia|Georgia|major|sec
georgia-pre-flight|Georgia Pre-Flight||
georgia-southern|Georgia Southern||
georgia-state|Georgia State||
georgia-tech|Georgia Tech|major|acc
gonzaga|Gonzaga||
grambling-state|Grambling State||
great-lakes-navy|Great Lakes Navy||
grinnell|Grinnell||
hamilton|Hamilton||
hampden-sydney|Hampden-Sydney||
hardin-simmons|Hardin-Simmons||
harvard|Harvard||
haskell|Haskell||
haverford|Haverford||
hawaii|Hawaii||
holy-cross|Holy Cross||
houston|Houston||
idaho|Idaho||
idaho-state|Idaho State||
illinois|Illinois|major|big
illinois-state|Illinois State||
indiana|Indiana|major|big
